Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 34.29      0.12     0.12        1   120.00   169.67  init_distrib()
 25.71      0.21     0.09        7    12.86    24.30  optimized_isotopic_distribution(formula*, int)
 20.00      0.28     0.07      281     0.25     0.25  integral_normalization(double, int, complex*)
 17.14      0.34     0.06 14782464     0.00     0.00  complex_multiplication(complex, complex)
  2.86      0.35     0.01    28802     0.00     0.00  get_step()
  0.00      0.35     0.00   236817     0.00     0.00  compute_correlation(int, complex*)
  0.00      0.35     0.00   115938     0.00     0.00  add_element(formula*, composition*)
  0.00      0.35     0.00    36266     0.00     0.00  add_formula(formula*, formula*)
  0.00      0.35     0.00    24073     0.00     0.00  get_util_formula(char const*)
  0.00      0.35     0.00    21270     0.00     0.00  get_amino_acid(char)
  0.00      0.35     0.00    10963     0.00     0.00  get_weight(formula*)
  0.00      0.35     0.00     9787     0.00     0.00  copy_isotop(isotop*, int)
  0.00      0.35     0.00     9787     0.00     0.00  free_element(element*)
  0.00      0.35     0.00     9787     0.00     0.00  copy_one_element(element*)
  0.00      0.35     0.00     4254     0.00     0.00  cpl_isCleavage2(cleavePointList*, char, char, char)
  0.00      0.35     0.00     3646     0.00     0.00  read_until(_IO_FILE*, char)
  0.00      0.35     0.00     3646     0.00     0.00  jump_blanks(_IO_FILE*)
  0.00      0.35     0.00     2559     0.00     0.00  jump_commentaries(_IO_FILE*, char)
  0.00      0.35     0.00     2306     0.00     0.00  get_peptide_sequence(int)
  0.00      0.35     0.00     2297     0.00     0.00  jump_a_line(_IO_FILE*)
  0.00      0.35     0.00     2287     0.00     0.00  free_composition(composition*, int)
  0.00      0.35     0.00     2192     0.00     0.00  copy_composition(composition*, int)
  0.00      0.35     0.00     1682     0.00     0.00  copy_formula(formula*)
  0.00      0.35     0.00     1249     0.00     0.00  get_atom_quantity(char const*)
  0.00      0.35     0.00     1243     0.00     0.00  get_X_atom(char*)
  0.00      0.35     0.00     1111     0.00     0.00  get_peptide_charge_formula()
  0.00      0.35     0.00      840     0.00     0.00  cftmdl(int, int, double*, double*)
  0.00      0.35     0.00      719     0.00     0.00  read_line(_IO_FILE*)
  0.00      0.35     0.00      555     0.00     0.00  free_peptide(peptide*)
  0.00      0.35     0.00      555     0.00     0.00  peptide_charge_weight()
  0.00      0.35     0.00      555     0.00     0.00  is_equivalent_to_another(int)
  0.00      0.35     0.00      555     0.00     0.00  get_peptide_formula_from_index(int)
  0.00      0.35     0.00      280     0.00     0.00  cdft(int, int, double*, int*, double*)
  0.00      0.35     0.00      280     0.00     0.00  cft1st(int, double*, double*)
  0.00      0.35     0.00      273     0.00     0.00  bitrv2conj(int, int*, double*)
  0.00      0.35     0.00      273     0.00     0.00  cftbsub(int, double*, double*)
  0.00      0.35     0.00      245     0.00     0.00  affect_atom(char*, int, int, composition*, element*, int)
  0.00      0.35     0.00      195     0.00     0.00  is_verbose_mode_activated()
  0.00      0.35     0.00      157     0.00     0.00  get_peptide_score_threshold()
  0.00      0.35     0.00      139     0.00     0.00  read_formula(char const*, element*, int)
  0.00      0.35     0.00       64     0.00     0.00  get_element_table()
  0.00      0.35     0.00       64     0.00     0.00  get_element_table_size()
