Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.00      0.08     0.08        1    80.00   113.63  init_distrib()
 21.88      0.12     0.04 12736512     0.00     0.00  complex_multiplication(complex, complex)
 18.75      0.14     0.03       59     0.51     0.51  integral_normalization(double, int, complex*)
  6.25      0.15     0.01        1    10.00    40.86  optimized_isotopic_distribution(formula*, int)
  3.12      0.16     0.01                             complex_addition(complex, complex)
  0.00      0.16     0.00    36153     0.00     0.00  compute_correlation(int, complex*)
  0.00      0.16     0.00    28802     0.00     0.00  get_step()
  0.00      0.16     0.00    17098     0.00     0.00  add_element(formula*, composition*)
  0.00      0.16     0.00     5370     0.00     0.00  add_formula(formula*, formula*)
  0.00      0.16     0.00     3646     0.00     0.00  read_until(_IO_FILE*, char)
  0.00      0.16     0.00     3646     0.00     0.00  jump_blanks(_IO_FILE*)
  0.00      0.16     0.00     3284     0.00     0.00  get_util_formula(char const*)
  0.00      0.16     0.00     2815     0.00     0.00  get_amino_acid(char)
  0.00      0.16     0.00     2559     0.00     0.00  jump_commentaries(_IO_FILE*, char)
  0.00      0.16     0.00     2297     0.00     0.00  jump_a_line(_IO_FILE*)
  0.00      0.16     0.00     1814     0.00     0.00  copy_isotop(isotop*, int)
  0.00      0.16     0.00     1814     0.00     0.00  free_element(element*)
  0.00      0.16     0.00     1814     0.00     0.00  copy_one_element(element*)
  0.00      0.16     0.00     1061     0.00     0.00  get_weight(formula*)
  0.00      0.16     0.00      719     0.00     0.00  read_line(_IO_FILE*)
  0.00      0.16     0.00      469     0.00     0.00  free_composition(composition*, int)
  0.00      0.16     0.00      381     0.00     0.00  get_peptide_sequence(int)
  0.00      0.16     0.00      374     0.00     0.00  copy_composition(composition*, int)
  0.00      0.16     0.00      317     0.00     0.00  cpl_isCleavage2(cleavePointList*, char, char, char)
  0.00      0.16     0.00      284     0.00     0.00  copy_formula(formula*)
  0.00      0.16     0.00      250     0.00     0.00  get_atom_quantity(char const*)
  0.00      0.16     0.00      245     0.00     0.00  affect_atom(char*, int, int, composition*, element*, int)
  0.00      0.16     0.00      244     0.00     0.00  get_X_atom(char*)
  0.00      0.16     0.00      192     0.00     0.00  cftmdl(int, int, double*, double*)
  0.00      0.16     0.00      187     0.00     0.00  get_peptide_charge_formula()
  0.00      0.16     0.00      171     0.00     0.00  is_verbose_mode_activated()
  0.00      0.16     0.00      141     0.00     0.00  free_peptide(peptide*)
  0.00      0.16     0.00      139     0.00     0.00  read_formula(char const*, element*, int)
  0.00      0.16     0.00       93     0.00     0.00  copy_peptide(peptide*)
  0.00      0.16     0.00       93     0.00     0.00  fusion_peptide(peptide*, peptide*)
  0.00      0.16     0.00       93     0.00     0.00  peptide_charge_weight()
  0.00      0.16     0.00       93     0.00     0.00  is_equivalent_to_another(int)
  0.00      0.16     0.00       93     0.00     0.00  get_peptide_formula_from_index(int)
  0.00      0.16     0.00       64     0.00     0.00  get_element_table()
  0.00      0.16     0.00       64     0.00     0.00  get_element_table_size()
  0.00      0.16     0.00       64     0.00     0.00  cdft(int, int, double*, int*, double*)
  0.00      0.16     0.00       64     0.00     0.00  cft1st(int, double*, double*)
  0.00      0.16     0.00       57     0.00     0.00  bitrv2conj(int, int*, double*)
  0.00      0.16     0.00       57     0.00     0.00  cftbsub(int, double*, double*)
  0.00      0.16     0.00       44     0.00     0.00  free_formula(formula*)
  0.00      0.16     0.00       42     0.00     0.00  get_peptide_score_threshold()
  0.00      0.16     0.00       23     0.00     0.00  closest_int(double)
  0.00      0.16     0.00       22     0.00     0.00  get_nb_displayed_proteins()
  0.00      0.16     0.00       11     0.00     0.00  get_distribution_activation()
  0.00      0.16     0.00       10     0.00    11.41  load_string_keyword(_IO_FILE*, char const*)
  0.00      0.16     0.00       10     0.00     0.00  free_cpt(cleavePoint*)
  0.00      0.16     0.00        9     0.00     0.00  load_int_keyword(_IO_FILE*, char*)
  0.00      0.16     0.00        8     0.00     0.00  stringToCpl(char*)
  0.00      0.16     0.00        8     0.00     0.00  bitrv2(int, int*, double*)
  0.00      0.16     0.00        8     0.00     0.00  free_cplt(cleavePointList*)
  0.00      0.16     0.00        8     0.00     0.00  free_enzt(enzyme*)
  0.00      0.16     0.00        7     0.00     0.00  cftfsub(int, double*, double*)
  0.00      0.16     0.00        6     0.00     0.00  load_float_keyword(_IO_FILE*, char*)
  0.00      0.16     0.00        4     0.00     0.00  is_decoy_mode_activated()
  0.00      0.16     0.00        3     0.00     0.00  add_chains(char const*, char const*)
  0.00      0.16     0.00        3     0.00     0.00  get_base_name()
  0.00      0.16     0.00        3     0.00     0.00  free_n_formula(formula*, int)
  0.00      0.16     0.00        3     0.00     0.00  is_fasta_chosen()
  0.00      0.16     0.00        2     0.00     0.00  get_maximum_mass()
  0.00      0.16     0.00        2     0.00     0.00  get_minimum_mass()
  0.00      0.16     0.00        2     0.00     0.00  load_boolean_keyword(_IO_FILE*, char*)
  0.00      0.16     0.00        2     0.00     0.00  get_formula_from_sequence(char*)
  0.00      0.16     0.00        2     0.00     0.00  get_maximum_peptide_length()
  0.00      0.16     0.00        2     0.00     0.00  is_exp_protein_mass_activated()
  0.00      0.16     0.00        2     0.00     0.00  get_number_of_activated_modifications()
  0.00      0.16     0.00        2     0.00     0.00  nextEntry(long*)
  0.00      0.16     0.00        1     0.00     0.00  enzym_load(char const*)
  0.00      0.16     0.00        1     0.00     0.00  fastafopen(char const*, long*)
  0.00      0.16     0.00        1     0.00     0.00  get_specie()
  0.00      0.16     0.00        1     0.00     0.00  add_protein(char*, char*, complex*, double)
  0.00      0.16     0.00        1     0.00     0.00  fastafclose()
  0.00      0.16     0.00        1     0.00     0.00  free_tables()
  0.00      0.16     0.00        1     0.00     0.00  real_digest(char*)
  0.00      0.16     0.00        1     0.00     0.00  copy_spectrum(complex*)
  0.00      0.16     0.00        1     0.00     0.00  get_threshold()
  0.00      0.16     0.00        1     0.00     0.51  read_spectrum(char const*)
  0.00      0.16     0.00        1     0.00     0.00  formula_tochar(formula*)
  0.00      0.16     0.00        1     0.00     0.00  free_isodistrib()
  0.00      0.16     0.00        1     0.00     0.00  get_used_enzyme()
  0.00      0.16     0.00        1     0.00     0.00  ascq_me_cleaning()
  0.00      0.16     0.00        1     0.00     0.00  free_enzym_table(enzyme_list*)
  0.00      0.16     0.00        1     0.00     0.00  get_exp_spectrum()
  0.00      0.16     0.00        1     0.00     0.00  init_peptid_link(element*, int)
  0.00      0.16     0.00        1     0.00     0.00  free_peptide_link()
  0.00      0.16     0.00        1     0.00     0.00  get_element_table(char const*, int*)
  0.00      0.16     0.00        1     0.00     0.00  get_theo_spectrum()
  0.00      0.16     0.00        1     0.00     0.00  free_element_table(element*, int)
  0.00      0.16     0.00        1     0.00     0.00  get_fasta_filename()
  0.00      0.16     0.00        1     0.00     0.00  get_gaussian_value()
  0.00      0.16     0.00        1     0.00   114.14  load_configuration(char*)
  0.00      0.16     0.00        1     0.00     0.00  load_modifications(char const*)
  0.00      0.16     0.00        1     0.00     0.00  set_peptide_charge(char const*)
  0.00      0.16     0.00        1     0.00     0.00  free_util_digestion()
  0.00      0.16     0.00        1     0.00     0.00  init_util_digestion()
  0.00      0.16     0.00        1     0.00     0.00  is_a_wanted_protein()
  0.00      0.16     0.00        1     0.00     0.00  fprint_configuration(_IO_FILE*)
  0.00      0.16     0.00        1     0.00     0.00  get_amino_acid_table(char const*, element*, int)
  0.00      0.16     0.00        1     0.00     0.00  init_ascq_me_display()
  0.00      0.16     0.00        1     0.00     0.00  free_amino_acid_table(amino_acid_CF*)
  0.00      0.16     0.00        1     0.00     0.00  get_peptide_precision()
  0.00      0.16     0.00        1     0.00     0.00  tables_initialisation()
  0.00      0.16     0.00        1     0.00     0.00  default_peptide_charge()
  0.00      0.16     0.00        1     0.00     0.00  free_all_modifications()
  0.00      0.16     0.00        1     0.00     0.00  get_spectrum_precision()
  0.00      0.16     0.00        1     0.00     0.00  fprintf_ascq_me_results(_IO_FILE*)
  0.00      0.16     0.00        1     0.00     0.00  get_nb_missed_cleavages()
  0.00      0.16     0.00        1     0.00     0.00  get_scoring_sensitivity()
  0.00      0.16     0.00        1     0.00     0.00  set_nb_missed_cleavages(int)
  0.00      0.16     0.00        1     0.00     0.00  get_formulae_of_peptides(int*)
  0.00      0.16     0.00        1     0.00     0.00  get_peptide_maximum_mass()
  0.00      0.16     0.00        1     0.00     0.00  get_experimental_filename()
  0.00      0.16     0.00        1     0.00     0.00  get_spectrum_maximum_mass()
  0.00      0.16     0.00        1     0.00     0.00  get_activation_full_digest()
  0.00      0.16     0.00        1     0.00     0.00  get_minimum_peptide_number()
  0.00      0.16     0.00        1     0.00     0.00  compute_equivalent_peptides()
  0.00      0.16     0.00        1     0.00     0.00  free_activated_modification()
  0.00      0.16     0.00        1     0.00     0.00  save_partial_peptide_scoring(double*, int)
  0.00      0.16     0.00        1     0.00     0.00  ascq_me_configuration_cleaning()
  0.00      0.16     0.00        1     0.00     0.00  get_current_peptide_score_save()
  0.00      0.16     0.00        1     0.00     0.00  get_current_peptide_score_size()
  0.00      0.16     0.00        1     0.00     0.00  fprintf_ascq_me_peptide_scoring(_IO_FILE*)
  0.00      0.16     0.00        1     0.00     0.00  fprintf_ascq_me_results_table_form(_IO_FILE*)
  0.00      0.16     0.00        1     0.00     0.00  get_minimum_matched_peptide_number()
  0.00      0.16     0.00        1     0.00     0.00  new_peptides_with_missed_cleavages(int, int*)
  0.00      0.16     0.00        1     0.00     0.00  sort_and_init_with_peptide_scoring()
  0.00      0.16     0.00        1     0.00     0.00  digest()
